WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
25379,20140101,100,20131231,1600,2.424,-135.33,57.06,4.6,4.7,4.9,4.5,0,0,0,0,0,0,0,C,3.9,0,4.4,0,3,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,200,20131231,1700,2.424,-135.33,57.06,4.3,4.5,4.6,4.3,0,0,0,0,0,0,0,C,2,0,3,0,1.4,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,300,20131231,1800,2.424,-135.33,57.06,5.2,4.7,5.2,4.3,0,0,0,0,0,0,0,C,3.7,0,4.2,0,2.9,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,400,20131231,1900,2.424,-135.33,57.06,5.3,5.1,5.3,5,0,0,0,0,0,0,0,C,4.3,0,4.3,0,4.2,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,500,20131231,2000,2.424,-135.33,57.06,5.2,5.3,5.3,5.2,0,0,0,0,0,0,0,C,4.3,0,4.3,0,4.2,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,600,20131231,2100,2.424,-135.33,57.06,5.3,5.2,5.3,5.1,0,0,0,0,0,0,0,C,4.3,0,4.3,0,4.2,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,700,20131231,2200,2.424,-135.33,57.06,5.1,5.2,5.4,5.1,0,0,0,0,0,0,0,C,4.3,0,4.4,0,4.1,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,800,20131231,2300,2.424,-135.33,57.06,5.1,5.1,5.2,5.1,0,0,0,0,0,0,0,C,4.1,0,4.1,0,4,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,900,20140101,0,2.424,-135.33,57.06,5.1,5.1,5.2,5,0.5,0,0,0,0,0,0,C,4.2,0,4.2,0,4.1,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1000,20140101,100,2.424,-135.33,57.06,5.8,5.4,5.8,5.1,0.4,0,0,0,0,0,0,C,4.5,0,4.9,0,4.1,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1100,20140101,200,2.424,-135.33,57.06,5.8,5.9,6,5.8,1.2,0,0,0,0,0,0,C,5,0,5.1,0,4.9,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1200,20140101,300,2.424,-135.33,57.06,5.7,5.7,5.9,5.6,1.7,0,0,0,0,0,0,C,5,0,5.1,0,4.9,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1300,20140101,400,2.424,-135.33,57.06,5.7,5.8,5.9,5.7,1.1,0,0,0,0,0,0,C,5.1,0,5.2,0,5,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1400,20140101,500,2.424,-135.33,57.06,6.3,6.1,6.3,5.7,0.9,0,0,0,0,0,0,C,5.3,0,5.5,0,5,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1500,20140101,600,2.424,-135.33,57.06,6.7,6.6,6.7,6.3,1,0,0,0,0,0,0,C,5.6,0,5.7,0,5.5,0,94,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1600,20140101,700,2.424,-135.33,57.06,6.5,6.6,6.8,6.5,0.7,0,0,0,0,0,0,C,5.7,0,5.7,0,5.6,0,94,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1700,20140101,800,2.424,-135.33,57.06,6.5,6.6,6.7,6.5,1.5,0,0,0,0,0,0,C,5.7,0,5.7,0,5.6,0,94,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1800,20140101,900,2.424,-135.33,57.06,6.1,6.3,6.5,6.1,3.2,0,0,0,0,0,0,C,5.7,0,5.8,0,5.6,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,1900,20140101,1000,2.424,-135.33,57.06,4.9,5.8,6.1,4.9,5.1,0,0,0,0,0,0,C,5.5,0,5.7,0,4.7,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,2000,20140101,1100,2.424,-135.33,57.06,3.3,3.8,4.9,3.3,6.3,0,0,0,0,0,0,C,3.8,0,4.7,0,3.1,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,2100,20140101,1200,2.424,-135.33,57.06,3.2,3.1,3.3,3,1.9,1,0,9,0,0,0,C,3.3,0,3.6,0,3.1,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,2200,20140101,1300,2.424,-135.33,57.06,2.6,2.8,3.2,2.6,0.9,0,0,0,0,0,0,C,3.4,0,3.6,0,3.3,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140101,2300,20140101,1400,2.424,-135.33,57.06,3.2,2.8,3.2,2.6,0.7,1,0,6,0,0,0,C,3.4,0,3.8,0,3.1,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,0,20140101,1500,2.424,-135.33,57.06,4.4,4.3,4.8,3.3,0.4,6,0,26,0,0,0,C,4,0,4.3,0,2.4,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,100,20140101,1600,2.424,-135.33,57.06,4.2,4.2,4.4,4.1,0,5,0,31,0,0,0,C,3.1,0,3.7,0,2.4,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,200,20140101,1700,2.424,-135.33,57.06,4.2,4.2,4.3,4.1,0,0,0,0,0,0,0,C,3.4,0,3.5,0,3.3,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,300,20140101,1800,2.424,-135.33,57.06,3.7,4,4.2,3.7,0,0,0,0,0,0,0,C,2.4,0,3.4,0,0.9,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,400,20140101,1900,2.424,-135.33,57.06,3.8,3.8,3.9,3.7,0,0,0,0,0,0,0,C,2.7,0,3.1,0,2.1,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20140102,500,20140101,2000,2.424,-135.33,57.06,3.8,3.7,3.8,3.5,0,0,0,0,0,0,0,C,2.1,0,3.1,0,1,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
