WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
25379,20130101,100,20121231,1600,2.414,-135.33,57.06,2.5,2.8,3.3,2.5,0,0,0,0,0,0,0,C,2.8,0,3.1,0,2.5,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,200,20121231,1700,2.414,-135.33,57.06,2.4,2.5,2.7,2.3,0,0,0,0,0,0,0,C,2.3,0,2.5,0,2.3,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,300,20121231,1800,2.414,-135.33,57.06,2.4,2.4,2.6,2.3,0,0,0,0,0,0,0,C,2.2,0,2.3,0,2.1,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,400,20121231,1900,2.414,-135.33,57.06,2.3,2.4,2.5,2.2,0,0,0,0,0,0,0,C,2.2,0,2.2,0,2.1,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,500,20121231,2000,2.414,-135.33,57.06,2,2.1,2.6,1.8,0,0,0,0,0,0,0,C,2,0,2.3,0,1.6,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,600,20121231,2100,2.414,-135.33,57.06,1.5,1.7,2,1.4,0,0,0,0,0,0,0,C,1.4,0,1.6,0,1,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,700,20121231,2200,2.414,-135.33,57.06,1.2,1.3,1.6,1.2,0,0,0,0,0,0,0,C,0.9,0,1.1,0,0.8,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,800,20121231,2300,2.414,-135.33,57.06,0.8,0.9,1.2,0.7,0,0,0,0,0,0,0,C,0.4,0,0.8,0,0.2,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,900,20130101,0,2.414,-135.33,57.06,2.2,1.4,2.2,0.6,0,0,0,0,0,0,0,C,0.7,0,1.4,0,0.2,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1000,20130101,100,2.414,-135.33,57.06,2.5,2,2.5,1.6,0,0,0,0,0,0,0,C,1.4,0,1.7,0,1.2,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1100,20130101,200,2.414,-135.33,57.06,3.4,2.7,3.4,2.2,0,0,0,0,0,0,0,C,1.9,0,2.3,0,1.7,0,95,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1200,20130101,300,2.414,-135.33,57.06,3.9,3.6,4.4,3,0,0,0,0,0,0,0,C,2.4,0,2.5,0,2.3,0,88,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1300,20130101,400,2.414,-135.33,57.06,4.5,4.2,4.8,3.8,0,0,0,0,0,0,0,C,2.7,0,3.2,0,2.5,0,80,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1400,20130101,500,2.414,-135.33,57.06,4.8,5,5.4,4.5,0,0,0,0,0,0,0,C,3.6,0,4,0,3.2,0,71,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1500,20130101,600,2.414,-135.33,57.06,5.8,5.7,6.2,4.8,0,0,0,0,0,0,0,C,4.3,0,4.6,0,3.9,0,63,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1600,20130101,700,2.414,-135.33,57.06,6.4,6.2,6.7,5.6,0,0,0,0,0,0,0,C,4.8,0,5,0,4.5,0,59,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1700,20130101,800,2.414,-135.33,57.06,7.1,6.8,7.1,6.4,0,0,0,0,0,0,0,C,5.3,0,5.5,0,5,0,55,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1800,20130101,900,2.414,-135.33,57.06,7.3,7.2,7.6,6.8,0,0,0,0,0,0,0,C,5.8,0,5.9,0,5.5,0,53,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,1900,20130101,1000,2.414,-135.33,57.06,8.2,7.6,8.2,7.2,0,0,0,0,0,0,0,C,6.2,0,6.6,0,5.9,0,48,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,2000,20130101,1100,2.414,-135.33,57.06,8.1,8.2,8.6,7.9,0,0,0,1,0,0,0,C,6.9,0,7.2,0,6.6,0,43,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,2100,20130101,1200,2.414,-135.33,57.06,8.3,8.2,8.6,7.7,0,3,0,17,0,0,0,C,7.1,0,7.2,0,7,0,47,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,2200,20130101,1300,2.414,-135.33,57.06,7.9,8.3,8.7,7.8,0,2,0,15,0,0,0,C,7,0,7.3,0,6.4,0,45,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130101,2300,20130101,1400,2.414,-135.33,57.06,6.7,7.6,8.4,6.7,0,0,0,0,0,0,0,C,6.6,0,6.9,0,5.9,0,51,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,0,20130101,1500,2.414,-135.33,57.06,4.4,4.6,6.6,4.3,0.4,0,0,0,0,0,0,C,4.2,0,5.9,0,3.6,0,83,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,100,20130101,1600,2.414,-135.33,57.06,4.1,4.2,4.5,4.1,1,0,0,0,0,0,0,C,3.6,0,3.6,0,3.5,0,89,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,200,20130101,1700,2.414,-135.33,57.06,4,4.1,4.3,4,1.1,0,0,0,0,0,0,C,3.6,0,3.6,0,3.6,0,93,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,300,20130101,1800,2.414,-135.33,57.06,3.9,3.9,4,3.8,1.7,0,0,0,0,0,0,C,3.5,0,3.6,0,3.5,0,95,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,400,20130101,1900,2.414,-135.33,57.06,3.8,3.8,3.9,3.7,2,0,0,0,0,0,0,C,3.5,0,3.5,0,3.5,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,500,20130101,2000,2.414,-135.33,57.06,3.9,3.9,4,3.8,1.3,0,0,0,0,0,0,C,3.6,0,3.7,0,3.5,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,600,20130101,2100,2.414,-135.33,57.06,4,4,4,3.9,1.5,0,0,0,0,0,0,C,3.7,0,3.7,0,3.7,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,700,20130101,2200,2.414,-135.33,57.06,3.8,3.8,4,3.7,2.4,0,0,0,0,0,0,C,3.7,0,3.7,0,3.6,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,800,20130101,2300,2.414,-135.33,57.06,3.4,3.5,3.8,3.3,2.6,0,0,0,0,0,0,C,3.4,0,3.6,0,3.2,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,900,20130102,0,2.414,-135.33,57.06,3.2,3.3,3.4,3.1,2.8,0,0,0,0,0,0,C,3.2,0,3.2,0,3,0,98,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1000,20130102,100,2.414,-135.33,57.06,2.7,3,3.2,2.7,1.9,0,0,0,0,0,0,C,2.9,0,3,0,2.7,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1100,20130102,200,2.414,-135.33,57.06,2.6,2.5,2.7,2.4,0,0,0,0,0,0,0,C,2.5,0,2.7,0,2.4,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1200,20130102,300,2.414,-135.33,57.06,2.2,2.5,2.6,2.2,0,0,0,0,0,0,0,C,2.4,0,2.4,0,2.2,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1300,20130102,400,2.414,-135.33,57.06,2,2.1,2.2,2,0,0,0,0,0,0,0,C,2,0,2.2,0,1.7,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1400,20130102,500,2.414,-135.33,57.06,1.8,1.7,2,1.6,0,0,0,0,0,0,0,C,1.5,0,1.7,0,1.3,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1500,20130102,600,2.414,-135.33,57.06,1.6,1.7,1.8,1.5,0,0,0,0,0,0,0,C,1.4,0,1.5,0,1.3,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1600,20130102,700,2.414,-135.33,57.06,1.2,1.3,1.6,1.1,0,0,0,0,0,0,0,C,1.2,0,1.3,0,1.1,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1700,20130102,800,2.414,-135.33,57.06,1.6,1.5,1.7,1.2,0,0,0,0,0,0,0,C,1.3,0,1.4,0,1.1,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1800,20130102,900,2.414,-135.33,57.06,1.3,1.5,1.8,1.2,0,0,0,0,0,0,0,C,1.2,0,1.4,0,1,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,1900,20130102,1000,2.414,-135.33,57.06,0.9,1.1,1.3,0.9,0,1,0,9,0,0,0,C,1,0,1,0,0.9,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,2000,20130102,1100,2.414,-135.33,57.06,1.7,1.4,1.7,0.9,0,19,0,26,0,9,0,C,1.2,0,1.7,0,0.9,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,2100,20130102,1200,2.414,-135.33,57.06,2.2,1.9,2.2,1.7,0,19,0,27,0,13,0,C,2,0,2.4,0,1.7,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,2200,20130102,1300,2.414,-135.33,57.06,2.8,2.5,2.8,2.2,0,32,0,49,0,23,0,C,2.8,0,3.3,0,2.4,0,100,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130102,2300,20130102,1400,2.414,-135.33,57.06,3.1,2.9,3.1,2.7,0,33,0,52,0,15,0,C,3.4,0,3.7,0,3.3,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20130103,0,20130102,1500,2.414,-135.33,57.06,2.4,2.9,3.2,2.4,0,17,0,51,0,2,0,C,3.5,0,3.9,0,2.7,0,99,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
