WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
25379,20220101,100,20211231,1600,2.424,-135.33,57.06,1.2,1.6,2.2,1.2,1.4,0,0,0,0,0,0,C,0.2,0,0.2,0,0.1,0,92,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,200,20211231,1700,2.424,-135.33,57.06,1.5,1.5,1.7,1.2,1.3,0,0,0,0,0,0,C,0.2,0,0.2,0,0.1,0,94,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,300,20211231,1800,2.424,-135.33,57.06,1.2,1.4,1.6,1.1,1.6,0,0,0,0,0,0,C,0.2,0,0.2,0,0.1,0,95,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,400,20211231,1900,2.424,-135.33,57.06,1.7,1.4,1.7,1.2,2,0,0,0,0,0,0,C,0.2,0,0.2,0,0.1,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,500,20211231,2000,2.424,-135.33,57.06,1.9,1.8,2,1.6,3.2,0,0,0,0,0,0,C,0.3,0,0.3,0,0.2,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,600,20211231,2100,2.424,-135.33,57.06,0.8,1.5,1.9,0.8,4.5,0,0,0,0,0,0,C,0.2,0,0.3,0,0.1,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,700,20211231,2200,2.424,-135.33,57.06,0.4,0.7,0.9,0.4,4.9,0,0,0,0,0,0,C,0.1,0,0.1,0,-0.1,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,800,20211231,2300,2.424,-135.33,57.06,0.1,0.2,0.5,0.1,5.2,0,0,0,0,0,0,C,0,0,0,0,-0.1,0,96,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,900,20220101,0,2.424,-135.33,57.06,0.1,0.1,0.2,0.1,5.5,0,0,0,0,0,0,C,0,0,0,0,0,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1000,20220101,100,2.424,-135.33,57.06,0.1,0.1,0.1,0.1,4.6,0,0,0,0,0,0,C,0,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1100,20220101,200,2.424,-135.33,57.06,0.1,0.1,0.2,0.1,4.7,0,0,0,0,0,0,C,0,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1200,20220101,300,2.424,-135.33,57.06,0.1,0.1,0.1,0.1,2.2,0,0,0,0,0,0,C,-0.1,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1300,20220101,400,2.424,-135.33,57.06,0.1,0.1,0.1,0.1,1.3,0,0,0,0,0,0,C,-0.1,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1400,20220101,500,2.424,-135.33,57.06,0.1,0.1,0.1,0.1,1.3,0,0,0,0,0,0,C,-0.1,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1500,20220101,600,2.424,-135.33,57.06,0.1,0.1,0.2,0.1,0.6,0,0,0,0,0,0,C,-0.1,0,-0.1,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1600,20220101,700,2.424,-135.33,57.06,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,C,-0.1,0,-0.1,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1700,20220101,800,2.424,-135.33,57.06,0.3,0.2,0.5,0.1,0.4,0,0,0,0,0,0,C,-0.1,0,-0.1,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20220101,1800,20220101,900,2.424,-135.33,57.06,0.3,0.2,0.4,0.1,0,0,0,0,0,0,0,C,-0.1,0,0,0,-0.1,0,97,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
