WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
25379,20080101,100,20071231,1600,1.302,-135.33,57.06,0,0,0.1,-0.1,0,0,0,0,0,0,0,R,-2.5,0,-2.2,0,-2.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,200,20071231,1700,1.302,-135.33,57.06,0.1,0,0.1,-0.1,0,0,0,0,0,0,0,R,-2.2,0,-1.9,0,-2.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,300,20071231,1800,1.302,-135.33,57.06,0.5,0.2,0.5,0,0,0,0,0,0,0,0,R,-1.7,0,-1.3,0,-2.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,400,20071231,1900,1.302,-135.33,57.06,0.4,0.4,0.5,0.3,0,0,0,0,0,0,0,R,-1.3,0,-1.1,0,-1.5,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,500,20071231,2000,1.302,-135.33,57.06,0.6,0.6,0.8,0.4,0,0,0,0,0,0,0,R,-1.1,0,-0.8,0,-1.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,600,20071231,2100,1.302,-135.33,57.06,0.8,0.6,0.9,0.5,0,0,0,0,0,0,0,R,-1.1,0,-0.9,0,-1.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,700,20071231,2200,1.302,-135.33,57.06,0.8,1,1.4,0.8,0,0,0,0,0,0,0,R,-0.5,0,-0.2,0,-1.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,800,20071231,2300,1.302,-135.33,57.06,1.2,0.9,1.4,0.6,0,0,0,0,0,0,0,R,-0.3,0,0.1,0,-0.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,900,20080101,0,1.302,-135.33,57.06,1.4,1.3,1.7,0.9,0,0,0,0,0,0,0,R,-0.2,0,-0.1,0,-0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1000,20080101,100,1.302,-135.33,57.06,1.3,1.4,1.8,1.2,0,0,0,0,0,0,0,R,-0.1,0,0,0,-0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1100,20080101,200,1.302,-135.33,57.06,2,1.4,2,1.1,0,0,0,0,0,0,0,R,0,0,0.1,0,-0.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1200,20080101,300,1.302,-135.33,57.06,2.3,2,2.5,1.8,0,0,0,0,0,0,0,R,0.1,0,0.3,0,0,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1300,20080101,400,1.302,-135.33,57.06,2.7,2.4,2.9,1.9,0,0,0,0,0,0,0,R,0.2,0,2.5,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1400,20080101,500,1.302,-135.33,57.06,3,2.9,3.3,2.7,0,0,0,0,0,0,0,R,0.3,0,0.4,0,0.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1500,20080101,600,1.302,-135.33,57.06,3.4,3.1,3.6,2.6,0,0,0,0,0,0,0,R,0.3,0,0.4,0,0.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1600,20080101,700,1.302,-135.33,57.06,3.7,3.5,3.9,3.1,0,0,0,0,0,0,0,R,0.3,0,0.3,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1700,20080101,800,1.302,-135.33,57.06,3.7,3.7,4,3.4,0,0,0,0,0,0,0,R,0.3,0,0.3,0,0.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1800,20080101,900,1.302,-135.33,57.06,3.2,3.4,3.8,3.1,0,0,0,0,0,0,0,R,0.3,0,0.4,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,1900,20080101,1000,1.302,-135.33,57.06,3.2,3.3,3.6,3,0,0,0,5,0,0,0,R,0.2,0,0.4,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,2000,20080101,1100,1.302,-135.33,57.06,3.3,3.3,3.6,3.1,0,14,0,37,0,4,0,R,0.2,0,0.3,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,2100,20080101,1200,1.302,-135.33,57.06,3.5,3.5,3.9,3.3,0,35,0,74,0,2,0,R,0.3,0,0.4,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,2200,20080101,1300,1.302,-135.33,57.06,2.7,3.1,3.9,2.1,0.3,14,0,41,0,0,0,R,0.3,0,3.4,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
25379,20080101,2300,20080101,1400,1.302,-135.33,57.06,4,3.3,4.2,2.6,0,46,0,56,0,33,0,R,0.2,0,0.3,0,0.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
