UTC_DATE,UTC_TIME,P_CALC
20100101,100,0
20100101,200,0
20100101,300,0
20100101,400,0
20100101,500,0
20100101,600,0
20100101,700,0
20100101,800,0
20100101,900,0
20100101,1000,0
20100101,1100,0
20100101,1200,0
20100101,1300,0
20100101,1400,0
20100101,1500,0
20100101,1600,0
20100101,1700,0
20100101,1800,0
20100101,1900,0
20100101,2000,0
20100101,2100,0
20100101,2200,0
20100101,2300,0
20100102,0,0
20100102,100,0
20100102,200,0
20100102,300,0
20100102,400,0
20100102,500,0
20100102,600,0
20100102,700,0
20100102,800,0
20100102,900,0
20100102,1000,0
20100102,1100,0
20100102,1200,0
20100102,1300,0
20100102,1400,0
20100102,1500,0
20100102,1600,0.4
20100102,1700,0
20100102,1800,0
20100102,1900,0
20100102,2000,0
20100102,2100,0.7
20100102,2200,0
20100102,2300,0
20100103,0,0.3
20100103,100,0
20100103,200,0
20100103,300,0.3
20100103,400,0
20100103,500,0
20100103,600,0
20100103,700,0
20100103,800,0
20100103,900,0
20100103,1000,0
20100103,1100,0
20100103,1200,0
20100103,1300,0
20100103,1400,0
20100103,1500,0
20100103,1600,0
20100103,1700,0
20100103,1800,0
20100103,1900,0
20100103,2000,0
20100103,2100,0.3
20100103,2200,0
20100103,2300,0
20100104,0,0
20100104,100,0
20100104,200,0
20100104,300,0
20100104,400,0
20100104,500,0
20100104,600,0
20100104,700,0
20100104,800,0
20100104,900,0
20100104,1000,0
20100104,1100,0
20100104,1200,0
20100104,1300,0
20100104,1400,0
20100104,1500,0
20100104,1600,0
20100104,1700,0
20100104,1800,0
20100104,1900,0
20100104,2000,0
20100104,2100,0
20100104,2200,0
20100104,2300,0
20100105,0,0
20100105,100,0
20100105,200,0
20100105,300,0
20100105,400,0
20100105,500,0
20100105,600,0
20100105,700,0
20100105,800,0
20100105,900,0
20100105,1000,0
20100105,1100,0
20100105,1200,0
20100105,1300,0
20100105,1400,0
20100105,1500,0
20100105,1600,0
20100105,1700,0
20100105,1800,0
20100105,1900,0
20100105,2000,0
20100105,2100,0
20100105,2200,0
20100105,2300,0
20100106,0,0
20100106,100,0
20100106,200,0
20100106,300,0
20100106,400,0
20100106,500,0
20100106,600,0
20100106,700,0
20100106,800,0
20100106,900,0
20100106,1000,0
20100106,1100,0
20100106,1200,0
20100106,1300,0
20100106,1400,0
20100106,1500,0
20100106,1600,0
20100106,1700,0
20100106,1800,0
20100106,1900,0.3
20100106,2000,0
20100106,2100,1.9
20100106,2200,1
20100106,2300,0
20100107,0,0
20100107,100,0
20100107,200,0
20100107,300,0
20100107,400,0
20100107,500,0
20100107,600,0
20100107,700,0
20100107,800,0
20100107,900,0
20100107,1000,0.2
20100107,1100,0.3
20100107,1200,0.2
20100107,1300,0.4
20100107,1400,0.3
20100107,1500,0
20100107,1600,0.4
20100107,1700,0.3
20100107,1800,0
20100107,1900,0.4
20100107,2000,0
20100107,2100,0
20100107,2200,0
