UTC_DATE,UTC_TIME,P_CALC
20180101,100,0
20180101,200,0
20180101,300,0
20180101,400,0.5
20180101,500,0.4
20180101,600,0.2
20180101,700,0.4
20180101,800,0
20180101,900,0
20180101,1000,0
20180101,1100,0.4
20180101,1200,0
20180101,1300,0
20180101,1400,0.2
20180101,1500,0.4
20180101,1600,0.5
20180101,1700,0.3
20180101,1800,0
20180101,1900,0
20180101,2000,0.3
20180101,2100,1.4
20180101,2200,1.3
20180101,2300,0.5
20180102,0,0.4
20180102,100,0
20180102,200,0
20180102,300,0
20180102,400,0
20180102,500,1.4
20180102,600,1
20180102,700,1.3
20180102,800,3.3
20180102,900,1.8
20180102,1000,2.4
20180102,1100,1.5
20180102,1200,0.3
20180102,1300,0.2
20180102,1400,0.5
20180102,1500,0.4
20180102,1600,2
20180102,1700,1.6
20180102,1800,0.6
20180102,1900,0.9
20180102,2000,1
20180102,2100,0
20180102,2200,0
20180102,2300,0
20180103,0,0
20180103,100,0
20180103,200,0.3
20180103,300,0
20180103,400,0.3
20180103,500,0.6
20180103,600,1.4
20180103,700,0.5
20180103,800,0.2
20180103,900,0.8
20180103,1000,0.9
20180103,1100,0
20180103,1200,0.2
20180103,1300,0.8
20180103,1400,0.6
20180103,1500,0.3
20180103,1600,0
20180103,1700,0
20180103,1800,0
20180103,1900,0.3
20180103,2000,0.8
20180103,2100,0.2
20180103,2200,0.2
20180103,2300,0
20180104,0,0
20180104,100,0
20180104,200,0
20180104,300,0
20180104,400,0.7
20180104,500,1.5
20180104,600,1.4
20180104,700,0.8
20180104,800,0.8
20180104,900,1.1
20180104,1000,1.2
20180104,1100,1.1
20180104,1200,1.3
20180104,1300,1.5
20180104,1400,1.3
20180104,1500,1.6
20180104,1600,1.4
20180104,1700,0.6
20180104,1800,0.9
20180104,1900,1.8
20180104,2000,1.2
20180104,2100,1.7
20180104,2200,1.9
20180104,2300,1
20180105,0,2.1
20180105,100,0.9
20180105,200,1
20180105,300,0.5
20180105,400,0.6
20180105,500,0.4
20180105,600,0.5
20180105,700,0.6
20180105,800,0.3
20180105,900,0
20180105,1000,0.3
20180105,1100,0
20180105,1200,0
20180105,1300,0.7
20180105,1400,2.1
20180105,1500,0.3
20180105,1600,0
20180105,1700,0
20180105,1800,0
20180105,1900,0
20180105,2000,0
20180105,2100,0
20180105,2200,0.2
20180105,2300,0.2
