UTC_DATE,UTC_TIME,P_CALC
20130101,100,0
20130101,200,0
20130101,300,0
20130101,400,0
20130101,500,0
20130101,600,0
20130101,700,0
20130101,800,0
20130101,900,0
20130101,1000,0
20130101,1100,0
20130101,1200,0
20130101,1300,0
20130101,1400,0
20130101,1500,0
20130101,1600,0
20130101,1700,0
20130101,1800,0
20130101,1900,0
20130101,2000,0
20130101,2100,0
20130101,2200,0
20130101,2300,0
20130102,0,0.4
20130102,100,1
20130102,200,1.1
20130102,300,1.7
20130102,400,2
20130102,500,1.3
20130102,600,1.5
20130102,700,2.4
20130102,800,2.6
20130102,900,2.8
20130102,1000,1.9
20130102,1100,0
20130102,1200,0
20130102,1300,0
20130102,1400,0
20130102,1500,0
20130102,1600,0
20130102,1700,0
20130102,1800,0
20130102,1900,0
20130102,2000,0
20130102,2100,0
20130102,2200,0
20130102,2300,0
20130103,0,0
20130103,100,0
20130103,200,0
20130103,300,0
20130103,400,0
20130103,500,0
20130103,600,0
20130103,700,0
20130103,800,0
20130103,900,0
20130103,1000,0
20130103,1100,0
20130103,1200,0
20130103,1300,0
20130103,1400,0
20130103,1500,0
20130103,1600,0
20130103,1700,0
20130103,1800,0
20130103,1900,0
20130103,2000,0
20130103,2100,0
20130103,2200,0
20130103,2300,0
20130104,0,0
20130104,100,0
20130104,200,0.3
20130104,300,0.2
20130104,400,0.4
20130104,500,1
20130104,600,2.8
20130104,700,1
20130104,800,1.1
20130104,900,0.7
20130104,1000,0.3
20130104,1100,0
20130104,1200,0.2
20130104,1300,0
20130104,1400,0
20130104,1500,0
20130104,1600,0
20130104,1700,0
20130104,1800,0
20130104,1900,0
20130104,2000,0
20130104,2100,0
20130104,2200,0
20130104,2300,0
20130105,0,0
20130105,100,0
20130105,200,0
20130105,300,0
20130105,400,0
20130105,500,0
20130105,600,0
20130105,700,0
20130105,800,0
20130105,900,0
20130105,1000,0
20130105,1100,0
20130105,1200,0
20130105,1300,0
20130105,1400,0
20130105,1500,0
20130105,1600,0
20130105,1700,0
20130105,1800,0
20130105,1900,0
20130105,2000,0
20130105,2100,0
20130105,2200,0
20130105,2300,0
20130106,0,0
20130106,100,0.3
20130106,200,0.7
20130106,300,1.6
20130106,400,2.2
20130106,500,1.4
20130106,600,0
20130106,700,0
20130106,800,0
20130106,900,0
20130106,1000,0
20130106,1100,0
20130106,1200,0
20130106,1300,0
20130106,1400,0
20130106,1500,0
20130106,1600,0
20130106,1700,0
20130106,1800,0
20130106,1900,0
20130106,2000,0
20130106,2100,0
20130106,2200,0
20130106,2300,0
20130107,0,0
20130107,100,0
20130107,200,0
20130107,300,0
20130107,400,0
20130107,500,0
20130107,600,0.2
20130107,700,0.4
20130107,800,0.4
20130107,900,0.5
20130107,1000,0.2
20130107,1100,0.3
20130107,1200,1.4
20130107,1300,0.7
20130107,1400,0
20130107,1500,0.4
20130107,1600,0
20130107,1700,0
20130107,1800,0
20130107,1900,0
20130107,2000,0
20130107,2100,0
20130107,2200,0.5
20130107,2300,0
20130108,0,0
20130108,100,0.4
20130108,200,0
20130108,300,0
20130108,400,0.6
20130108,500,0
20130108,600,0.3
20130108,700,0.9
20130108,800,0
20130108,900,0
20130108,1000,0.3
20130108,1100,0
20130108,1200,0.2
20130108,1300,0.2
20130108,1400,0
20130108,1500,0.5
20130108,1600,0.9
20130108,1700,0.2
20130108,1800,0
20130108,1900,0.6
20130108,2000,0
20130108,2100,0.2
20130108,2200,0.2
20130108,2300,0
20130109,0,0
20130109,100,0
20130109,200,0
20130109,300,0
20130109,400,0
20130109,500,0
20130109,600,0
20130109,700,0
20130109,800,0
20130109,900,0
20130109,1000,0
20130109,1100,0
20130109,1200,0
20130109,1300,0
20130109,1400,0
20130109,1500,0
20130109,1600,0
20130109,1700,0
20130109,1800,0
20130109,1900,0
20130109,2000,0
20130109,2100,0
20130109,2200,0
20130109,2300,0
20130110,0,0
20130110,100,0
20130110,200,0
20130110,300,0
20130110,400,0.8
20130110,500,0
20130110,600,0
20130110,700,0.3
20130110,800,0
20130110,900,0.5
20130110,1000,0.8
20130110,1100,0
20130110,1200,0
20130110,1300,0.3
20130110,1400,0
20130110,1500,0
20130110,1600,0
20130110,1700,0
20130110,1800,0.3
20130110,1900,0.2
20130110,2000,0.4
20130110,2100,0
20130110,2200,0.2
20130110,2300,1.2
20130111,0,0.6
20130111,100,0.6
20130111,200,0.4
20130111,300,0
20130111,400,0
20130111,500,0
20130111,600,0
20130111,700,0
20130111,800,0.2
20130111,900,0
20130111,1000,0.3
20130111,1100,0
20130111,1200,0
20130111,1300,0
20130111,1400,0
20130111,1500,0
20130111,1600,0
20130111,1700,0
20130111,1800,0
20130111,1900,0
20130111,2000,0
20130111,2100,0
20130111,2200,0
20130111,2300,0
20130112,0,0
20130112,100,0
20130112,200,0
20130112,300,0
20130112,400,0
20130112,500,0
20130112,600,0
20130112,700,0
20130112,800,0
20130112,900,0
20130112,1000,0
20130112,1100,0
20130112,1200,0
20130112,1300,0
20130112,1400,0
20130112,1500,0
20130112,1600,0
20130112,1700,0
20130112,1800,0
20130112,1900,0
20130112,2000,0
20130112,2100,0
20130112,2200,0
20130112,2300,0
20130113,0,0
20130113,100,0
20130113,200,0
20130113,300,0
20130113,400,0
20130113,500,0
20130113,600,0
20130113,700,0
20130113,800,0
20130113,900,0.2
20130113,1000,0
20130113,1100,0.5
20130113,1200,0.2
20130113,1300,0
20130113,1400,0
20130113,1500,0.4
20130113,1600,2.1
20130113,1700,0
20130113,1800,0.7
20130113,1900,0
20130113,2000,0.5
20130113,2100,0.5
20130113,2200,0
20130113,2300,0
20130114,0,1.1
20130114,100,0.2
20130114,200,0.3
20130114,300,0
20130114,400,1
20130114,500,0.2
20130114,600,1.1
20130114,700,1
20130114,800,0.6
20130114,900,1.4
20130114,1000,0.9
20130114,1100,0.9
20130114,1200,1.3
20130114,1300,1.8
20130114,1400,1.3
20130114,1500,0.6
20130114,1600,1.9
20130114,1700,0.4
20130114,1800,0.7
20130114,1900,0.8
