UTC_DATE,UTC_TIME,P_CALC
20190101,100,0.3
20190101,200,0.4
20190101,300,0.4
20190101,400,0
20190101,500,0
20190101,600,0
20190101,700,0
20190101,800,0
20190101,900,1
20190101,1000,2.6
20190101,1100,2.6
20190101,1200,1.4
20190101,1300,0.9
20190101,1400,2.3
20190101,1500,1.2
20190101,1600,2.7
20190101,1700,3.1
20190101,1800,3.3
20190101,1900,2.8
20190101,2000,3.2
20190101,2100,3.8
20190101,2200,4.1
20190101,2300,4.7
20190102,0,3.7
20190102,100,2.5
20190102,200,0
20190102,300,0
20190102,400,0
20190102,500,0
20190102,600,0
20190102,700,0
20190102,800,0
20190102,900,0.2
20190102,1000,0.5
20190102,1100,0.8
20190102,1200,0.6
20190102,1300,1.4
20190102,1400,0
20190102,1500,0.2
20190102,1600,1.4
20190102,1700,0.4
20190102,1800,1.4
20190102,1900,0
20190102,2000,0.6
20190102,2100,0.6
20190102,2200,0
20190102,2300,0.2
20190103,0,1.7
20190103,100,0
20190103,200,0
20190103,300,0
20190103,400,0.5
20190103,500,0.4
20190103,600,0
20190103,700,3
20190103,800,0
20190103,900,0
20190103,1000,0
20190103,1100,0
20190103,1200,0.3
20190103,1300,0
20190103,1400,0
20190103,1500,0
20190103,1600,0
20190103,1700,0
20190103,1800,0
20190103,1900,0
20190103,2000,0
20190103,2100,0
20190103,2200,0
20190103,2300,0
20190104,0,0
20190104,100,0
20190104,200,0
20190104,300,0
20190104,400,0
20190104,500,0
20190104,600,0
20190104,700,0
20190104,800,0
20190104,900,0
20190104,1000,0
20190104,1100,0
20190104,1200,0
20190104,1300,0
20190104,1400,0
20190104,1500,0
20190104,1600,0
20190104,1700,0
20190104,1800,0
20190104,1900,0
20190104,2000,0
20190104,2100,0
20190104,2200,0
20190104,2300,0
20190105,0,0
20190105,100,0
20190105,200,0
20190105,300,0
20190105,400,0
20190105,500,0
20190105,600,0
20190105,700,0
20190105,800,0
20190105,900,0
20190105,1000,0
20190105,1100,0
20190105,1200,0
20190105,1300,0
20190105,1400,0
20190105,1500,0
20190105,1600,0
20190105,1700,0
20190105,1800,0
20190105,1900,0
20190105,2000,0
20190105,2100,0
20190105,2200,0
20190105,2300,0
20190106,0,0
20190106,100,0
20190106,200,0
20190106,300,0
20190106,400,0
20190106,500,0
20190106,600,0
20190106,700,0
20190106,800,0
20190106,900,0
20190106,1000,0
20190106,1100,0
20190106,1200,0
20190106,1300,0
20190106,1400,0
20190106,1500,0
20190106,1600,0
20190106,1700,0
20190106,1800,0
20190106,1900,0
20190106,2000,0
20190106,2100,0.4
20190106,2200,0
20190106,2300,0
20190107,0,0
20190107,100,0
20190107,200,0
20190107,300,0
20190107,400,0
20190107,500,0
20190107,600,0
20190107,700,0
20190107,800,0
20190107,900,0
20190107,1000,0
20190107,1100,0
20190107,1200,0
20190107,1300,0
20190107,1400,0
20190107,1500,0
20190107,1600,0
20190107,1700,0
20190107,1800,0
20190107,1900,0.4
20190107,2000,0
20190107,2100,0
20190107,2200,0
20190107,2300,0
20190108,0,0
20190108,100,0
20190108,200,0
20190108,300,0
20190108,400,0.2
20190108,500,0.2
20190108,600,1.2
20190108,700,0
20190108,800,0.4
20190108,900,0
20190108,1000,0
20190108,1100,0
20190108,1200,0.9
20190108,1300,0.4
20190108,1400,0
20190108,1500,0
20190108,1600,0
20190108,1700,0
20190108,1800,0
20190108,1900,0
20190108,2000,0
20190108,2100,0
20190108,2200,0
20190108,2300,0
20190109,0,0
20190109,100,0
20190109,200,0
20190109,300,0
20190109,400,0
20190109,500,0
20190109,600,0
20190109,700,0
20190109,800,0
20190109,900,0
20190109,1000,0
20190109,1100,0
20190109,1200,0
20190109,1300,0
20190109,1400,0
20190109,1500,0
20190109,1600,0
20190109,1700,0
20190109,1800,0
20190109,1900,0
20190109,2000,0
20190109,2100,0
20190109,2200,0
20190109,2300,0
20190110,0,0
20190110,100,0
20190110,200,0
20190110,300,0
20190110,400,0
20190110,500,0
20190110,600,0
20190110,700,0.4
20190110,800,0.5
20190110,900,0.4
20190110,1000,0.5
20190110,1100,0
20190110,1200,0
20190110,1300,0.2
20190110,1400,0.2
20190110,1500,0.4
20190110,1600,0.8
20190110,1700,1.1
20190110,1800,0
20190110,1900,0.2
20190110,2000,0.6
20190110,2100,0.4
20190110,2200,1.1
20190110,2300,0.5
20190111,0,0
20190111,100,0.5
20190111,200,1.2
20190111,300,0
20190111,400,0
20190111,500,0.4
20190111,600,0
20190111,700,0
20190111,800,0.5
20190111,900,0.2
20190111,1000,0
20190111,1100,0.6
20190111,1200,0
20190111,1300,0
20190111,1400,0.3
20190111,1500,0
20190111,1600,0
20190111,1700,0.4
20190111,1800,0
20190111,1900,0
20190111,2000,2.8
20190111,2100,3.1
20190111,2200,1.6
20190111,2300,0
20190112,0,0
20190112,100,0
20190112,200,0
20190112,300,0
20190112,400,0
20190112,500,0
20190112,600,0
20190112,700,0
20190112,800,0
20190112,900,0
20190112,1000,0
20190112,1100,0.4
20190112,1200,0
20190112,1300,0.4
20190112,1400,0
20190112,1500,0
20190112,1600,0
20190112,1700,0
20190112,1800,0
20190112,1900,0
20190112,2000,0
20190112,2100,0
20190112,2200,0
20190112,2300,0
20190113,0,0
20190113,100,0
20190113,200,0
20190113,300,0
20190113,400,0
20190113,500,0
20190113,600,0
20190113,700,0.6
20190113,800,1.4
20190113,900,0.7
20190113,1000,0.5
20190113,1100,0.4
20190113,1200,0.4
