UTC_DATE,UTC_TIME,P_CALC
20080101,100,0
20080101,200,0
20080101,300,0
20080101,400,0
20080101,500,0
20080101,600,0
20080101,700,0
20080101,800,0
20080101,900,0
20080101,1000,0
20080101,1100,0
20080101,1200,0
20080101,1300,0
20080101,1400,0
20080101,1500,0
20080101,1600,0
20080101,1700,0
20080101,1800,0
20080101,1900,0
20080101,2000,0
20080101,2100,0
20080101,2200,0.3
20080101,2300,0
20080102,0,0.2
20080102,100,0.9
20080102,200,0.5
20080102,300,0
20080102,400,0.4
20080102,500,2
20080102,600,1.7
20080102,700,0
20080102,800,0
20080102,900,0
20080102,1000,0
20080102,1100,0
20080102,1200,0
20080102,1300,0.5
20080102,1400,0
20080102,1500,0.9
20080102,1600,3
20080102,1700,1
20080102,1800,0.3
20080102,1900,2.1
20080102,2000,0
20080102,2100,0.4
20080102,2200,1.6
20080102,2300,1.6
20080103,0,1
20080103,100,3.7
20080103,200,1.1
20080103,300,2.5
20080103,400,5.1
20080103,500,1.6
20080103,600,1.6
20080103,700,0.6
20080103,800,1.6
20080103,900,1.1
20080103,1000,0
20080103,1100,0
20080103,1200,1.2
20080103,1300,0.9
20080103,1400,0.5
20080103,1500,0.9
20080103,1600,1.1
20080103,1700,1
20080103,1800,0.8
20080103,1900,0.7
20080103,2000,0
20080103,2100,0.6
20080103,2200,0.4
20080103,2300,0
20080104,0,0
20080104,100,0
20080104,200,0
20080104,300,0
20080104,400,0
20080104,500,0
20080104,600,0
20080104,700,0
20080104,800,0
20080104,900,0
20080104,1000,0
20080104,1100,0
20080104,1200,0
20080104,1300,0
20080104,1400,0
20080104,1500,0
20080104,1600,0
20080104,1700,0
20080104,1800,0
20080104,1900,0
20080104,2000,0
20080104,2100,0
20080104,2200,0
20080104,2300,0
20080105,0,0
20080105,100,0
20080105,200,0
20080105,300,0
20080105,400,0
20080105,500,0
20080105,600,0
20080105,700,0
20080105,800,0
20080105,900,0
20080105,1000,0
20080105,1100,0
20080105,1200,0
20080105,1300,0
20080105,1400,0
20080105,1500,0
20080105,1600,0
20080105,1700,0
20080105,1800,0.4
20080105,1900,0
20080105,2000,0
20080105,2100,0
20080105,2200,0
20080105,2300,0
20080106,0,0
20080106,100,0
20080106,200,0
