UTC_DATE,UTC_TIME,P_CALC
20070101,100,0.5
20070101,200,1.9
20070101,300,1.8
20070101,400,2.7
20070101,500,2.8
20070101,600,5.5
20070101,700,3.2
20070101,800,1.4
20070101,900,1.4
20070101,1000,0.8
20070101,1100,1
20070101,1200,0
20070101,1300,0
20070101,1400,0.3
20070101,1500,0.7
20070101,1600,1.1
20070101,1700,2.4
20070101,1800,0.7
20070101,1900,0.5
20070101,2000,0.5
20070101,2100,0
20070101,2200,2.4
20070101,2300,3.3
20070102,0,3.7
20070102,100,0.2
20070102,200,0.2
20070102,300,0
20070102,400,0
20070102,500,0.2
20070102,600,0
20070102,700,0.4
20070102,800,0.2
20070102,900,0.8
20070102,1000,0.6
20070102,1100,1.7
20070102,1200,0.2
20070102,1300,0.7
20070102,1400,0.4
20070102,1500,0.8
20070102,1600,0.4
20070102,1700,0
20070102,1800,0
20070102,1900,0.2
20070102,2000,0
20070102,2100,0
20070102,2200,0
20070102,2300,0
20070103,0,0
20070103,100,0
20070103,200,0.2
20070103,300,0.2
20070103,400,0
20070103,500,0.6
20070103,600,0.8
20070103,700,0
20070103,800,0.8
20070103,900,0.6
20070103,1000,0
20070103,1100,0.6
20070103,1200,0.4
20070103,1300,0.7
20070103,1400,0
20070103,1500,0.3
20070103,1600,1
20070103,1700,0.6
20070103,1800,0.9
20070103,1900,1.8
20070103,2000,2.4
20070103,2100,1.4
20070103,2200,1.1
20070103,2300,0.3
20070104,0,0.4
20070104,100,0.7
20070104,200,3.3
20070104,300,0.2
20070104,400,0.2
20070104,500,0.3
20070104,600,0.2
20070104,700,0
20070104,800,0.3
20070104,900,0.2
20070104,1000,0
20070104,1100,0.5
20070104,1200,0.4
20070104,1300,0
20070104,1400,0
20070104,1500,0
20070104,1600,0
20070104,1700,0
20070104,1800,0
20070104,1900,0
20070104,2000,0
20070104,2100,0
20070104,2200,0
20070104,2300,0
20070105,0,0
20070105,100,0.4
20070105,200,0
20070105,300,0
20070105,400,1.4
20070105,500,2.9
20070105,600,5.1
20070105,700,1.1
20070105,800,3.4
20070105,900,2
20070105,1000,3.3
20070105,1100,1.1
20070105,1200,0
20070105,1300,0.8
20070105,1400,2.9
20070105,1500,2.1
20070105,1600,0.3
20070105,1700,0.3
20070105,1800,0
20070105,1900,0.8
20070105,2000,0.5
20070105,2100,0
20070105,2200,1.5
20070105,2300,0.4
20070106,0,0
20070106,100,0
20070106,200,0.7
20070106,300,0.2
20070106,400,0.5
20070106,500,0.4
20070106,600,0
20070106,700,0.2
20070106,800,0.8
20070106,900,0
20070106,1000,0
20070106,1100,1.4
20070106,1200,0
20070106,1300,0
20070106,1400,0
20070106,1500,0
20070106,1600,0
20070106,1700,0
20070106,1800,0
20070106,1900,0
20070106,2000,0
20070106,2100,0
20070106,2200,0
20070106,2300,0
20070107,0,0
20070107,100,0
20070107,200,0
20070107,300,0.5
20070107,400,0
20070107,500,0
20070107,600,0
20070107,700,0
20070107,800,0
20070107,900,0
20070107,1000,0
20070107,1100,0
20070107,1200,0
20070107,1300,0.5
20070107,1400,0.6
20070107,1500,0.9
20070107,1600,0.4
20070107,1700,0
20070107,1800,0
20070107,1900,0
20070107,2000,0
20070107,2100,0
20070107,2200,0
20070107,2300,0
20070108,0,0.7
20070108,100,0
20070108,200,0
20070108,300,2.5
20070108,400,0
20070108,500,0.5
20070108,600,0.3
20070108,700,0
20070108,800,0
20070108,900,0.3
20070108,1000,0
20070108,1100,0
20070108,1200,0
20070108,1300,0
20070108,1400,0.6
20070108,1500,0.5
20070108,1600,0
20070108,1700,0.4
20070108,1800,0.3
20070108,1900,0.7
20070108,2000,0.2
20070108,2100,0
20070108,2200,0
20070108,2300,0
20070109,0,0.5
20070109,100,0.6
20070109,200,0
20070109,300,0
20070109,400,1.9
20070109,500,0.2
20070109,600,0
20070109,700,0.5
20070109,800,0.7
20070109,900,0
20070109,1000,0.2
20070109,1100,0
20070109,1200,0
20070109,1300,0
20070109,1400,0
20070109,1500,0
20070109,1600,0
20070109,1700,0
20070109,1800,0
20070109,1900,0
20070109,2000,0
20070109,2100,0
20070109,2200,0
20070109,2300,0
20070110,0,0
20070110,100,0
20070110,200,0
20070110,300,0
20070110,400,0
20070110,500,0
20070110,600,0
20070110,700,0
20070110,800,0
20070110,900,0
20070110,1000,0
20070110,1100,0
20070110,1200,0
20070110,1300,0
20070110,1400,0
20070110,1500,0
20070110,1600,0
20070110,1700,0
20070110,1800,0
20070110,1900,0
20070110,2000,0
20070110,2100,0
20070110,2200,0
20070110,2300,0
20070111,0,0
20070111,100,0
20070111,200,0
20070111,300,0
20070111,400,0
20070111,500,0
20070111,600,0
20070111,700,0
20070111,800,0
20070111,900,0
20070111,1000,0
20070111,1100,0
20070111,1200,0
20070111,1300,0
20070111,1400,0
20070111,1500,0
20070111,1600,0
20070111,1700,0
20070111,1800,0
20070111,1900,0
20070111,2000,0
20070111,2100,0
20070111,2200,0
20070111,2300,0
20070112,0,0
20070112,100,0
20070112,200,0
20070112,300,0
20070112,400,0
20070112,500,0
20070112,600,0
20070112,700,0
20070112,800,0
20070112,900,0
20070112,1000,0
20070112,1100,0
20070112,1200,0.5
20070112,1300,0.3
20070112,1400,0.7
20070112,1500,0.8
20070112,1600,0.4
20070112,1700,0
20070112,1800,0
20070112,1900,0
20070112,2000,0
20070112,2100,0
20070112,2200,0.2
20070112,2300,0
20070113,0,0
20070113,100,0
20070113,200,0
20070113,300,0
20070113,400,0
20070113,500,0
20070113,600,0
20070113,700,0
20070113,800,0
20070113,900,0
20070113,1000,0
20070113,1100,0
20070113,1200,0
20070113,1300,0
20070113,1400,0
20070113,1500,0
20070113,1600,0
20070113,1700,0
20070113,1800,0
20070113,1900,0
20070113,2000,0
20070113,2100,0
20070113,2200,0
20070113,2300,0
20070114,0,0
20070114,100,0
20070114,200,0
20070114,300,0
20070114,400,0
20070114,500,0
20070114,600,0
20070114,700,0
20070114,800,0
20070114,900,0
20070114,1000,0
20070114,1100,0
20070114,1200,0.2
20070114,1300,0.4
20070114,1400,0
20070114,1500,0.4
20070114,1600,0
20070114,1700,0.7
20070114,1800,0.6
20070114,1900,0
20070114,2000,0
20070114,2100,0
20070114,2200,0
20070114,2300,0.2
20070115,0,0
20070115,100,0.8
20070115,200,1.8
20070115,300,0.6
20070115,400,0.5
20070115,500,0.4
20070115,600,0.4
20070115,700,0.9
20070115,800,1.5
20070115,900,2.2
20070115,1000,4
20070115,1100,6.9
20070115,1200,7.5
20070115,1300,5.6
20070115,1400,5.2
20070115,1500,3.4
20070115,1600,2.6
20070115,1700,1.4
20070115,1800,0.6
20070115,1900,0.8
20070115,2000,2
20070115,2100,1
20070115,2200,0.5
20070115,2300,0.9
20070116,0,1.7
20070116,100,0.2
20070116,200,0
20070116,300,0.6
20070116,400,0.9
20070116,500,0
20070116,600,0.2
20070116,700,0
20070116,800,0
20070116,900,0
20070116,1000,1.6
20070116,1100,0.2
20070116,1200,0
20070116,1300,2.6
20070116,1400,0
20070116,1500,0.3
20070116,1600,0
