UTC_DATE,UTC_TIME,P_CALC
20050815,2000,
20050815,2100,
20050815,2200,
20050815,2300,
20050816,0,
20050816,100,
20050816,200,
20050816,300,
20050816,400,0
20050816,500,0
20050816,600,0
20050816,700,0
20050816,800,0
20050816,900,0
20050816,1000,0
20050816,1100,0
20050816,1200,0
20050816,1300,0
20050816,1400,0
20050816,1500,0
20050816,1600,0
20050816,1700,0
20050816,1800,0
20050816,1900,
20050816,2000,0
20050816,2100,0
20050816,2200,0
20050816,2300,0
20050817,0,0
20050817,100,
20050817,200,0
20050817,300,0
20050817,400,0
20050817,500,0
20050817,600,0
20050817,700,0
20050817,800,0
20050817,900,0
20050817,1000,0
20050817,1100,0
20050817,1200,0
20050817,1300,0
20050817,1400,0
20050817,1500,0
20050817,1600,0
20050817,1700,0
20050817,1800,0
20050817,1900,
20050817,2000,
20050817,2100,0
20050817,2200,0
20050817,2300,0
20050818,0,0
20050818,100,0
20050818,200,0
20050818,300,0
20050818,400,0
20050818,500,0
20050818,600,0
20050818,700,0
20050818,800,0.8
20050818,900,3.7
20050818,1000,4.7
20050818,1100,0.8
20050818,1200,3.9
20050818,1300,6.3
20050818,1400,1.7
20050818,1500,1.4
20050818,1600,0.9
20050818,1700,4
20050818,1800,2.5
20050818,1900,2.6
20050818,2000,1.6
20050818,2100,0.2
20050818,2200,0
20050818,2300,0
20050819,0,0
20050819,100,0
20050819,200,0.3
20050819,300,0
20050819,400,0.2
20050819,500,0
20050819,600,0
20050819,700,0
20050819,800,0
20050819,900,0
20050819,1000,0
20050819,1100,0.6
20050819,1200,1.8
20050819,1300,1.7
20050819,1400,0.2
20050819,1500,0
20050819,1600,0
20050819,1700,0
20050819,1800,0
20050819,1900,0
20050819,2000,0
20050819,2100,0
20050819,2200,0
20050819,2300,0
20050820,0,0
20050820,100,0
20050820,200,1.5
20050820,300,0
20050820,400,3
20050820,500,0.2
20050820,600,0
20050820,700,0
20050820,800,0
20050820,900,0
20050820,1000,0
20050820,1100,0
20050820,1200,0
20050820,1300,0
20050820,1400,0
20050820,1500,0
20050820,1600,0
20050820,1700,0
20050820,1800,0
20050820,1900,0
20050820,2000,0.8
20050820,2100,0.3
20050820,2200,0
20050820,2300,0.7
20050821,0,0.9
20050821,100,0.7
20050821,200,0
20050821,300,0.2
20050821,400,0
20050821,500,0
20050821,600,0.3
20050821,700,0
20050821,800,0.2
20050821,900,0.2
20050821,1000,0.3
20050821,1100,0
20050821,1200,0
20050821,1300,0
20050821,1400,0.3
20050821,1500,0
20050821,1600,0
20050821,1700,0
20050821,1800,0
20050821,1900,0
20050821,2000,0
20050821,2100,0
20050821,2200,0
20050821,2300,0
20050822,0,0
20050822,100,0
20050822,200,0.4
20050822,300,1.1
20050822,400,0.7
20050822,500,1.1
20050822,600,1.1
20050822,700,0.2
20050822,800,3.9
20050822,900,5.8
20050822,1000,3.7
20050822,1100,9.1
20050822,1200,5.8
20050822,1300,0.6
20050822,1400,6.5
20050822,1500,5.1
20050822,1600,0.6
20050822,1700,0.2
20050822,1800,0.3
20050822,1900,0.2
20050822,2000,0
20050822,2100,0.2
20050822,2200,0
20050822,2300,0
20050823,0,0
20050823,100,0
20050823,200,0
20050823,300,0
20050823,400,0
20050823,500,0
20050823,600,0
20050823,700,0
20050823,800,0
20050823,900,0
20050823,1000,0
20050823,1100,0
20050823,1200,0
20050823,1300,0
20050823,1400,0
20050823,1500,0
20050823,1600,0
20050823,1700,0
20050823,1800,0
20050823,1900,0
20050823,2000,0
20050823,2100,0
20050823,2200,0
20050823,2300,0
20050824,0,0
20050824,100,0
20050824,200,0
20050824,300,0
20050824,400,0
20050824,500,0
20050824,600,0
20050824,700,0
20050824,800,0
20050824,900,0
20050824,1000,0
20050824,1100,0
20050824,1200,0
20050824,1300,0
20050824,1400,0
20050824,1500,0
20050824,1600,0
20050824,1700,0
20050824,1800,0
20050824,1900,0
20050824,2000,0
20050824,2100,0
20050824,2200,0
20050824,2300,0
20050825,0,0
20050825,100,0
20050825,200,1.4
20050825,300,0.8
20050825,400,0.3
20050825,500,0.7
20050825,600,1.3
20050825,700,1.3
20050825,800,0.2
20050825,900,0.2
20050825,1000,0.4
20050825,1100,0
