UTC_DATE,UTC_TIME,P_CALC
20140101,100,0
20140101,200,0
20140101,300,0
20140101,400,0
20140101,500,0
20140101,600,0
20140101,700,0
20140101,800,0
20140101,900,0.5
20140101,1000,0.4
20140101,1100,1.2
20140101,1200,1.7
20140101,1300,1.1
20140101,1400,0.9
20140101,1500,1
20140101,1600,0.7
20140101,1700,1.5
20140101,1800,3.2
20140101,1900,5.1
20140101,2000,6.3
20140101,2100,1.9
20140101,2200,0.9
20140101,2300,0.7
20140102,0,0.4
20140102,100,0
20140102,200,0
20140102,300,0
20140102,400,0
20140102,500,0
20140102,600,0
20140102,700,0
20140102,800,0
20140102,900,0
20140102,1000,0
20140102,1100,0
20140102,1200,0
20140102,1300,0
20140102,1400,1.1
20140102,1500,4.2
20140102,1600,0.5
20140102,1700,1.1
20140102,1800,0.9
20140102,1900,0
20140102,2000,0.7
20140102,2100,0.5
20140102,2200,0.4
20140102,2300,0.8
20140103,0,0.3
20140103,100,0.2
20140103,200,0.8
20140103,300,0.2
20140103,400,0
20140103,500,0
20140103,600,0.3
20140103,700,0
20140103,800,0
20140103,900,0.3
20140103,1000,0
20140103,1100,0.3
20140103,1200,0
20140103,1300,0
20140103,1400,0
20140103,1500,0
20140103,1600,0
20140103,1700,0
20140103,1800,0
20140103,1900,0.3
20140103,2000,0
20140103,2100,0.2
20140103,2200,0
20140103,2300,0
20140104,0,0
20140104,100,0
20140104,200,0
20140104,300,0
20140104,400,0
20140104,500,0
20140104,600,0
20140104,700,0
20140104,800,0
20140104,900,0
20140104,1000,0
20140104,1100,0
20140104,1200,0
20140104,1300,0
20140104,1400,0
20140104,1500,0
20140104,1600,0
20140104,1700,0
20140104,1800,0
20140104,1900,0
20140104,2000,0
20140104,2100,0
20140104,2200,0
20140104,2300,0
20140105,0,0
20140105,100,0
20140105,200,0
20140105,300,0
20140105,400,0
20140105,500,0
20140105,600,0
20140105,700,0
20140105,800,0
20140105,900,0
20140105,1000,0
20140105,1100,0
20140105,1200,0
20140105,1300,0
20140105,1400,0
20140105,1500,0.2
20140105,1600,0.7
20140105,1700,0.5
20140105,1800,0.9
20140105,1900,0.6
20140105,2000,0
20140105,2100,0
20140105,2200,0
20140105,2300,0.3
20140106,0,1.4
20140106,100,1.6
20140106,200,2.4
20140106,300,1.3
20140106,400,0
20140106,500,0
20140106,600,0
20140106,700,0
20140106,800,0.3
20140106,900,1.4
20140106,1000,1
20140106,1100,0.2
20140106,1200,0
20140106,1300,0
20140106,1400,0
20140106,1500,0
20140106,1600,0
20140106,1700,0.3
20140106,1800,0
20140106,1900,0
20140106,2000,0
20140106,2100,0.2
20140106,2200,0
20140106,2300,0
20140107,0,0.8
20140107,100,0
20140107,200,0
20140107,300,0
20140107,400,0
20140107,500,1.2
20140107,600,1.7
20140107,700,1.4
20140107,800,2.8
20140107,900,2.9
20140107,1000,1.8
20140107,1100,0.7
20140107,1200,0.2
20140107,1300,0
20140107,1400,0
20140107,1500,0.5
20140107,1600,1.9
20140107,1700,1.7
20140107,1800,1.9
20140107,1900,1.4
20140107,2000,1.6
20140107,2100,0
20140107,2200,0
20140107,2300,0
20140108,0,0
20140108,100,0
20140108,200,0.2
20140108,300,0
20140108,400,0
20140108,500,0
20140108,600,0
20140108,700,0
20140108,800,0
20140108,900,0
20140108,1000,0
20140108,1100,0
20140108,1200,0
20140108,1300,0
20140108,1400,0
20140108,1500,0
20140108,1600,0
20140108,1700,0
20140108,1800,0
20140108,1900,0
20140108,2000,0
20140108,2100,0
20140108,2200,0
20140108,2300,0
20140109,0,0
20140109,100,0
20140109,200,0.2
20140109,300,0.2
20140109,400,1.2
20140109,500,2.4
20140109,600,2.2
20140109,700,1.7
20140109,800,1.5
20140109,900,1.2
20140109,1000,0.5
20140109,1100,0.5
20140109,1200,1.2
20140109,1300,3.2
20140109,1400,1.8
20140109,1500,1.9
20140109,1600,1.7
20140109,1700,0
20140109,1800,0
20140109,1900,0.2
20140109,2000,0
20140109,2100,0
20140109,2200,0.7
20140109,2300,0.2
20140110,0,0.3
20140110,100,2.3
20140110,200,0.4
20140110,300,0.5
20140110,400,0.9
20140110,500,0
20140110,600,0
20140110,700,0
20140110,800,0
20140110,900,0
20140110,1000,0.7
20140110,1100,1.3
20140110,1200,2.2
20140110,1300,0.8
20140110,1400,0.4
20140110,1500,0.9
20140110,1600,0.3
20140110,1700,0
20140110,1800,0.2
20140110,1900,1.7
20140110,2000,0
20140110,2100,0
20140110,2200,0.2
20140110,2300,0
20140111,0,0.3
20140111,100,1.5
20140111,200,0
20140111,300,0
20140111,400,0
20140111,500,0
20140111,600,0
20140111,700,0
20140111,800,0
20140111,900,0
20140111,1000,0
20140111,1100,0
20140111,1200,0
20140111,1300,0
20140111,1400,0
20140111,1500,0
20140111,1600,0
20140111,1700,0.5
