UTC_DATE,UTC_TIME,P_CALC
20210101,100,0
20210101,200,0
20210101,300,0
20210101,400,0
20210101,500,0
20210101,600,0
20210101,700,0
20210101,800,0
20210101,900,0.3
20210101,1000,0.4
20210101,1100,0
20210101,1200,0.2
20210101,1300,0.6
20210101,1400,0
20210101,1500,0
20210101,1600,0
20210101,1700,0
20210101,1800,0
20210101,1900,0
20210101,2000,0
20210101,2100,0
20210101,2200,0
20210101,2300,0
20210102,0,0
20210102,100,0
20210102,200,0
20210102,300,0
20210102,400,0
20210102,500,0
20210102,600,0
20210102,700,0
20210102,800,0
20210102,900,0
20210102,1000,0
20210102,1100,0
20210102,1200,0
20210102,1300,0
20210102,1400,0
20210102,1500,0
20210102,1600,0
20210102,1700,0
20210102,1800,0
20210102,1900,0
20210102,2000,0
20210102,2100,0
20210102,2200,1.4
20210102,2300,0.2
20210103,0,0
20210103,100,0
20210103,200,0
20210103,300,0
20210103,400,0
20210103,500,0
20210103,600,0
20210103,700,0
20210103,800,0
20210103,900,0
20210103,1000,0
20210103,1100,0
20210103,1200,0.8
20210103,1300,1
20210103,1400,0.5
20210103,1500,0.7
20210103,1600,0
20210103,1700,0
20210103,1800,0.6
20210103,1900,1
20210103,2000,0.2
20210103,2100,0.2
20210103,2200,0.5
20210103,2300,1.2
20210104,0,1.8
20210104,100,0.2
20210104,200,0
20210104,300,0.5
20210104,400,0
20210104,500,0
20210104,600,0
20210104,700,0
20210104,800,0
20210104,900,0
20210104,1000,0
20210104,1100,0
20210104,1200,0
20210104,1300,0
20210104,1400,0
20210104,1500,0
20210104,1600,0
20210104,1700,0
20210104,1800,0
20210104,1900,0
20210104,2000,0
20210104,2100,0
20210104,2200,0
20210104,2300,0
20210105,0,0
20210105,100,0
20210105,200,0.8
20210105,300,0.7
20210105,400,0.8
20210105,500,1.8
20210105,600,1.1
20210105,700,0
20210105,800,0.7
20210105,900,1.2
20210105,1000,0
20210105,1100,0.5
20210105,1200,1.2
20210105,1300,0.4
20210105,1400,0
20210105,1500,0
20210105,1600,0
20210105,1700,0
20210105,1800,0.3
20210105,1900,0.2
20210105,2000,0.2
20210105,2100,0.2
20210105,2200,2.5
20210105,2300,3.5
20210106,0,1.5
20210106,100,0.4
20210106,200,0
20210106,300,0.5
20210106,400,1.2
20210106,500,0.3
20210106,600,0.6
20210106,700,0.4
20210106,800,0.8
20210106,900,0.6
20210106,1000,0
20210106,1100,0
20210106,1200,1.3
20210106,1300,0
20210106,1400,1.6
20210106,1500,15.2
20210106,1600,0.2
20210106,1700,1.4
20210106,1800,2.2
20210106,1900,0.7
20210106,2000,0.6
20210106,2100,0
20210106,2200,0.6
20210106,2300,0.2
20210107,0,0
20210107,100,0
20210107,200,0
20210107,300,0.4
20210107,400,0
20210107,500,0
20210107,600,0
20210107,700,0.3
20210107,800,0
20210107,900,0
20210107,1000,0
20210107,1100,0
20210107,1200,0
20210107,1300,0
20210107,1400,0
20210107,1500,0
20210107,1600,0
20210107,1700,1.4
20210107,1800,0.9
20210107,1900,0.2
20210107,2000,0.3
20210107,2100,0
20210107,2200,0.2
20210107,2300,0
20210108,0,0
20210108,100,0
20210108,200,0
20210108,300,0
20210108,400,0
20210108,500,0
20210108,600,0
20210108,700,0
20210108,800,0
20210108,900,0
20210108,1000,0
20210108,1100,0
20210108,1200,0
20210108,1300,0
20210108,1400,0
20210108,1500,0
20210108,1600,0
20210108,1700,0
20210108,1800,0
20210108,1900,0
20210108,2000,0
20210108,2100,0
20210108,2200,0
20210108,2300,1.2
20210109,0,1
20210109,100,2.6
20210109,200,1.7
20210109,300,1.5
20210109,400,0.9
20210109,500,0
20210109,600,0.4
20210109,700,0
20210109,800,0
20210109,900,0.3
20210109,1000,0
20210109,1100,0
20210109,1200,0
20210109,1300,0
20210109,1400,0
20210109,1500,0
20210109,1600,0
20210109,1700,0
20210109,1800,0
20210109,1900,0
20210109,2000,0
20210109,2100,0
20210109,2200,0
20210109,2300,0
20210110,0,0
20210110,100,0
20210110,200,0
20210110,300,0
20210110,400,0
20210110,500,0
20210110,600,0
20210110,700,0
20210110,800,0
20210110,900,0.4
20210110,1000,0
20210110,1100,0.4
20210110,1200,1.6
20210110,1300,2.3
20210110,1400,0.5
20210110,1500,1.3
20210110,1600,0.3
20210110,1700,0.5
20210110,1800,1.9
20210110,1900,0.7
20210110,2000,0.9
20210110,2100,0.6
20210110,2200,0
20210110,2300,0
20210111,0,1.5
20210111,100,0.8
20210111,200,0.5
20210111,300,1.5
20210111,400,1.9
20210111,500,1.8
20210111,600,2.7
20210111,700,0
20210111,800,0
20210111,900,0.3
20210111,1000,0
20210111,1100,0
20210111,1200,0
20210111,1300,0
20210111,1400,1.3
20210111,1500,1.3
20210111,1600,0
20210111,1700,1.7
20210111,1800,0.6
20210111,1900,0
20210111,2000,1
20210111,2100,0.4
20210111,2200,0.5
20210111,2300,0.5
20210112,0,0
20210112,100,0
20210112,200,0.5
20210112,300,0.3
20210112,400,0.2
20210112,500,0.3
20210112,600,0.3
20210112,700,0.2
20210112,800,0
20210112,900,0
20210112,1000,0.3
20210112,1100,0.4
20210112,1200,0.2
20210112,1300,0.3
20210112,1400,0.8
20210112,1500,0.9
20210112,1600,0.5
20210112,1700,1.8
20210112,1800,2.1
20210112,1900,3
20210112,2000,2.2
20210112,2100,0.7
20210112,2200,0
20210112,2300,0
20210113,0,0.3
20210113,100,1.9
20210113,200,0.5
20210113,300,0.2
20210113,400,0
20210113,500,3.4
20210113,600,1.2
20210113,700,0.3
20210113,800,0.6
20210113,900,0.7
20210113,1000,0.2
20210113,1100,0.6
20210113,1200,4.5
20210113,1300,2.1
20210113,1400,1.5
20210113,1500,0.5
20210113,1600,2.1
20210113,1700,1.1
20210113,1800,2.7
20210113,1900,5.8
20210113,2000,0.9
20210113,2100,1.4
20210113,2200,1.6
20210113,2300,0
20210114,0,0.2
20210114,100,1.5
20210114,200,1.3
20210114,300,0.8
20210114,400,0.3
20210114,500,0.3
20210114,600,0
20210114,700,0
20210114,800,0
20210114,900,0
20210114,1000,0
20210114,1100,0
20210114,1200,0
20210114,1300,0
20210114,1400,0
20210114,1500,0
20210114,1600,0
20210114,1700,0.3
20210114,1800,0.4
20210114,1900,1.3
20210114,2000,1
20210114,2100,1.1
20210114,2200,0.7
20210114,2300,1.3
20210115,0,1.9
20210115,100,1.1
20210115,200,0.6
20210115,300,1
20210115,400,0.9
20210115,500,0.7
20210115,600,2.5
20210115,700,3.4
20210115,800,1.5
20210115,900,0.5
20210115,1000,0.5
20210115,1100,0.5
20210115,1200,1
20210115,1300,1
20210115,1400,1.6
20210115,1500,1.5
20210115,1600,1.1
20210115,1700,2.2
20210115,1800,0.7
20210115,1900,0
20210115,2000,0.2
20210115,2100,0.7
20210115,2200,0.9
20210115,2300,0.4
20210116,0,2.2
20210116,100,0.2
20210116,200,0.3
20210116,300,1.5
20210116,400,0.8
20210116,500,1.4
20210116,600,0.7
20210116,700,0
20210116,800,0.6
20210116,900,0
20210116,1000,0
20210116,1100,0
20210116,1200,0
20210116,1300,0
20210116,1400,0
20210116,1500,0
20210116,1600,0
20210116,1700,0
20210116,1800,0
20210116,1900,0
20210116,2000,0
20210116,2100,0.8
20210116,2200,0.5
20210116,2300,0.5
20210117,0,0.4
20210117,100,0
20210117,200,0.2
20210117,300,1.4
20210117,400,0
20210117,500,0.6
20210117,600,3
20210117,700,2.2
20210117,800,1.3
20210117,900,0.4
20210117,1000,2.3
20210117,1100,0.9
20210117,1200,0.8
20210117,1300,4
20210117,1400,2.4
20210117,1500,1.6
20210117,1600,1.7
20210117,1700,0.7
20210117,1800,0.4
20210117,1900,0
20210117,2000,0.4
20210117,2100,0
20210117,2200,0.7
20210117,2300,2.8
20210118,0,2.3
20210118,100,0
20210118,200,0
20210118,300,0
20210118,400,0
20210118,500,0
20210118,600,0
20210118,700,0
20210118,800,0
20210118,900,0
20210118,1000,0
20210118,1100,0
20210118,1200,0
20210118,1300,0
20210118,1400,0
20210118,1500,0
20210118,1600,0
20210118,1700,0.3
20210118,1800,0.8
20210118,1900,2.1
20210118,2000,1.2
20210118,2100,1.3
20210118,2200,2
20210118,2300,3.3
20210119,0,2.7
20210119,100,3.4
20210119,200,3.6
20210119,300,3
20210119,400,4.4
20210119,500,1.9
20210119,600,4.2
20210119,700,2.6
20210119,800,2.4
20210119,900,1.9
20210119,1000,2.8
20210119,1100,1.3
20210119,1200,0.6
20210119,1300,0
20210119,1400,0.2
20210119,1500,0.5
20210119,1600,0.4
20210119,1700,0
20210119,1800,0
20210119,1900,0
20210119,2000,0.3
20210119,2100,0.8
20210119,2200,0.3
20210119,2300,0
20210120,0,0.4
20210120,100,0
20210120,200,0.5
20210120,300,0.3
20210120,400,0
20210120,500,0
20210120,600,0.8
20210120,700,0
20210120,800,0
20210120,900,0
20210120,1000,0
20210120,1100,0
20210120,1200,0.2
20210120,1300,0
20210120,1400,0
20210120,1500,0
20210120,1600,0
20210120,1700,0
20210120,1800,0
20210120,1900,0
20210120,2000,0
20210120,2100,0
20210120,2200,0.2
20210120,2300,0
20210121,0,0
20210121,100,0
20210121,200,0
20210121,300,0
20210121,400,0.2
20210121,500,0
20210121,600,0
20210121,700,0
20210121,800,0
20210121,900,0
20210121,1000,0
20210121,1100,0.2
20210121,1200,0
20210121,1300,0
20210121,1400,0
20210121,1500,0
20210121,1600,0
20210121,1700,0
20210121,1800,0
20210121,1900,0
20210121,2000,0
20210121,2100,0
20210121,2200,0
20210121,2300,0
20210122,0,0
20210122,100,0
20210122,200,0
20210122,300,0
20210122,400,0
20210122,500,0
20210122,600,0
20210122,700,0
20210122,800,0
20210122,900,0
20210122,1000,0
20210122,1100,0
20210122,1200,0
20210122,1300,0
20210122,1400,0
20210122,1500,0
20210122,1600,0
20210122,1700,0
20210122,1800,0
20210122,1900,0
20210122,2000,0
20210122,2100,0
20210122,2200,0
20210122,2300,0
20210123,0,0
20210123,100,0
20210123,200,0
20210123,300,0
20210123,400,0
20210123,500,0.2
20210123,600,0
20210123,700,0
20210123,800,0
20210123,900,0
20210123,1000,0
20210123,1100,0
20210123,1200,0
20210123,1300,0
20210123,1400,0
20210123,1500,0
20210123,1600,0
20210123,1700,0
20210123,1800,0
20210123,1900,0
20210123,2000,0
20210123,2100,0.5
20210123,2200,0.9
20210123,2300,0.9
20210124,0,1.2
20210124,100,0.6
20210124,200,0.9
20210124,300,0.9
20210124,400,1.1
20210124,500,0.2
20210124,600,1.4
20210124,700,0.6
20210124,800,0.3
20210124,900,0.3
20210124,1000,0
20210124,1100,0
20210124,1200,0
20210124,1300,0
20210124,1400,0
20210124,1500,0
20210124,1600,0.2
20210124,1700,0
20210124,1800,0
20210124,1900,0
20210124,2000,0
20210124,2100,0
20210124,2200,0
20210124,2300,0
20210125,0,0.3
20210125,100,0
20210125,200,0
20210125,300,0
20210125,400,0
20210125,500,0
20210125,600,0
20210125,700,0
20210125,800,0
20210125,900,0
20210125,1000,0
20210125,1100,0
20210125,1200,0
20210125,1300,0
20210125,1400,0
20210125,1500,0
20210125,1600,0
20210125,1700,0
20210125,1800,0
20210125,1900,0
20210125,2000,0
20210125,2100,0
20210125,2200,0
20210125,2300,0
20210126,0,0
20210126,100,0
20210126,200,0
20210126,300,0
20210126,400,0
20210126,500,0
20210126,600,0
20210126,700,0
20210126,800,0
20210126,900,0
20210126,1000,0
20210126,1100,0
20210126,1200,0
20210126,1300,0
20210126,1400,0
20210126,1500,0
20210126,1600,0
20210126,1700,0
20210126,1800,0
20210126,1900,0
20210126,2000,0
20210126,2100,0
20210126,2200,0
20210126,2300,0
20210127,0,0
20210127,100,0
20210127,200,0
20210127,300,0
20210127,400,0
20210127,500,0
20210127,600,0
20210127,700,0
20210127,800,0
20210127,900,0
20210127,1000,0
20210127,1100,0
20210127,1200,0
20210127,1300,0
20210127,1400,0
20210127,1500,0
20210127,1600,0
20210127,1700,0
20210127,1800,0
20210127,1900,0
20210127,2000,0
20210127,2100,0
20210127,2200,0
20210127,2300,0
20210128,0,0
20210128,100,0
20210128,200,0
20210128,300,0
20210128,400,0
20210128,500,0
20210128,600,0
20210128,700,0
20210128,800,0
20210128,900,0
20210128,1000,0
20210128,1100,0
20210128,1200,0
20210128,1300,0
20210128,1400,0
20210128,1500,0
20210128,1600,0
20210128,1700,0
20210128,1800,0
20210128,1900,0
20210128,2000,0
20210128,2100,0
20210128,2200,0
20210128,2300,0
20210129,0,0
20210129,100,0
20210129,200,0
20210129,300,0
20210129,400,0
20210129,500,0
20210129,600,0
20210129,700,0
20210129,800,0
20210129,900,0
20210129,1000,0
20210129,1100,0
20210129,1200,0
20210129,1300,0
20210129,1400,0
20210129,1500,0
20210129,1600,0
20210129,1700,0
20210129,1800,0
20210129,1900,0
20210129,2000,0
20210129,2100,0
20210129,2200,0
20210129,2300,0
20210130,0,0
20210130,100,0
20210130,200,0
20210130,300,0
20210130,400,0
20210130,500,0
20210130,600,0
20210130,700,0
20210130,800,0
20210130,900,0
20210130,1000,0
20210130,1100,0
20210130,1200,0
20210130,1300,0
20210130,1400,0
20210130,1500,0
20210130,1600,0
20210130,1700,0
20210130,1800,0
20210130,1900,0
20210130,2000,0
20210130,2100,0
20210130,2200,0
20210130,2300,0
20210131,0,0
20210131,100,0
20210131,200,0
20210131,300,0
20210131,400,0
20210131,500,0
20210131,600,0
20210131,700,0
20210131,800,0
20210131,900,0
20210131,1000,0
20210131,1100,0
20210131,1200,0
20210131,1300,0
20210131,1400,0
20210131,1500,0
20210131,1600,0
20210131,1700,0
20210131,1800,0
20210131,1900,0
20210131,2000,0
20210131,2100,0
20210131,2200,0
20210131,2300,0
20210201,0,0
20210201,100,0
20210201,200,0
20210201,300,0
20210201,400,0
20210201,500,0
20210201,600,0
20210201,700,0
20210201,800,0
20210201,900,0
20210201,1000,0
20210201,1100,0
20210201,1200,0
20210201,1300,0
20210201,1400,0
