UTC_DATE,UTC_TIME,P_CALC
20060101,100,0
20060101,200,0
20060101,300,0
20060101,400,0
20060101,500,0.2
20060101,600,0
20060101,700,0
20060101,800,0
20060101,900,0
20060101,1000,0
20060101,1100,0
20060101,1200,0
20060101,1300,0
20060101,1400,0
20060101,1500,0
20060101,1600,0
20060101,1700,1
20060101,1800,1.7
20060101,1900,0.6
20060101,2000,0.5
20060101,2100,0
20060101,2200,0
20060101,2300,0
20060102,0,0
20060102,100,0
20060102,200,0
20060102,300,0
20060102,400,0
20060102,500,0
20060102,600,0
20060102,700,0
20060102,800,0
20060102,900,0
20060102,1000,0
20060102,1100,0
20060102,1200,0
20060102,1300,0
20060102,1400,0
20060102,1500,0
20060102,1600,0
20060102,1700,0
20060102,1800,0
20060102,1900,0
20060102,2000,0
20060102,2100,0
20060102,2200,0
20060102,2300,0
20060103,0,0
20060103,100,0
20060103,200,0.2
20060103,300,0
20060103,400,0.3
20060103,500,0.4
20060103,600,0
20060103,700,0
20060103,800,0
20060103,900,0
20060103,1000,0
20060103,1100,0
20060103,1200,0
20060103,1300,0
20060103,1400,0
20060103,1500,0
20060103,1600,0
20060103,1700,0
20060103,1800,0
20060103,1900,0
20060103,2000,0
20060103,2100,0
20060103,2200,0
20060103,2300,0
20060104,0,0
20060104,100,0
20060104,200,0
20060104,300,0
20060104,400,0
20060104,500,0
20060104,600,0
20060104,700,0
20060104,800,0
20060104,900,0
20060104,1000,0
20060104,1100,0
20060104,1200,0
20060104,1300,0
20060104,1400,0
20060104,1500,0
20060104,1600,0
20060104,1700,0
20060104,1800,0
20060104,1900,0
20060104,2000,0
20060104,2100,0
20060104,2200,0
20060104,2300,0
20060105,0,0
20060105,100,0
20060105,200,0
20060105,300,0
20060105,400,0
20060105,500,0
20060105,600,0
20060105,700,0
20060105,800,0
20060105,900,0
20060105,1000,0
20060105,1100,0
20060105,1200,0
20060105,1300,0
20060105,1400,0
20060105,1500,0.6
20060105,1600,0.8
20060105,1700,2.3
20060105,1800,2.6
20060105,1900,0.7
20060105,2000,0
20060105,2100,0
20060105,2200,0.6
20060105,2300,2.6
20060106,0,2.3
20060106,100,0.6
20060106,200,0
20060106,300,0
20060106,400,0
20060106,500,0.3
20060106,600,0.2
20060106,700,0.4
20060106,800,1.2
20060106,900,0.8
20060106,1000,2.1
20060106,1100,0.7
20060106,1200,0.8
20060106,1300,0.3
20060106,1400,0.2
20060106,1500,0.7
20060106,1600,1.8
20060106,1700,1.9
20060106,1800,1.6
20060106,1900,0.4
20060106,2000,0.4
20060106,2100,0
20060106,2200,0
20060106,2300,1.4
20060107,0,0.3
20060107,100,0.2
20060107,200,0
20060107,300,0
20060107,400,0
20060107,500,0
20060107,600,0
20060107,700,0
20060107,800,0
20060107,900,0
20060107,1000,0
20060107,1100,0
20060107,1200,0
20060107,1300,0
20060107,1400,0
20060107,1500,0
20060107,1600,0
20060107,1700,0
20060107,1800,0
20060107,1900,0
