timestamp_utc,RG1_mm,VWC_20cm,VWC_50cm,VWC_94cm,porePressure_63cm_kPa,porePressure_133cm_kPa,porePressure_209cm_kPa
734051,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734051.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734052.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734053.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734054.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734055.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734056.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.5,0,NaN,NaN,NaN,NaN,20.505,NaN
734057.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734057.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.333333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.375,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.416666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.458333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.583333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.625,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.666666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.708333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.75,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.791666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.833333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.875,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.916666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734058.958333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734059,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.041666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.083333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.125,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.166666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.208333333,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.25,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.291666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.333333333,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734059.375,0.26,NaN,NaN,NaN,NaN,NaN,NaN
734059.416666667,1.01,NaN,NaN,NaN,NaN,NaN,NaN
734059.458333333,3.31,NaN,NaN,NaN,NaN,NaN,NaN
734059.5,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.541666667,0,NaN,NaN,NaN,NaN,NaN,NaN
734059.583333333,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734059.625,0.25,NaN,NaN,NaN,NaN,NaN,NaN
734059.666666667,0.51,NaN,NaN,NaN,NaN,NaN,NaN
